epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.9691,1.88767,0.52553,0.90493,1.3744,0.00332442,0.00332442,0.00332442
2,151.472,1.42488,0.60299,0.92958,1.20012,0.00657536,0.00657536,0.00657536
3,221.96,1.48821,0.48239,0.87676,1.56733,0.00974381,0.00974381,0.00974381
4,292.224,1.56838,0.45246,0.83979,1.70033,0.00962875,0.00962875,0.00962875
5,362.689,1.38101,0.57218,0.93398,1.26266,0.009505,0.009505,0.009505
6,432.955,1.26398,0.68222,0.96303,0.90143,0.00938125,0.00938125,0.00938125
7,503.568,1.17558,0.67077,0.96391,0.92279,0.0092575,0.0092575,0.0092575
8,573.543,1.11383,0.70951,0.97183,0.83496,0.00913375,0.00913375,0.00913375
9,643.765,1.07071,0.67606,0.96127,0.93366,0.00901,0.00901,0.00901
10,714.175,1.0119,0.73856,0.97095,0.78334,0.00888625,0.00888625,0.00888625
11,784.619,0.97752,0.7544,0.97271,0.7466,0.0087625,0.0087625,0.0087625
12,871.581,0.95846,0.78169,0.97623,0.66717,0.00863875,0.00863875,0.00863875
13,944.873,0.89011,0.79754,0.98151,0.60258,0.008515,0.008515,0.008515
14,1015.22,0.84655,0.78961,0.98239,0.62057,0.00839125,0.00839125,0.00839125
15,1085.47,0.83043,0.81074,0.98327,0.556,0.0082675,0.0082675,0.0082675
16,1155.68,0.81248,0.69542,0.95951,0.94861,0.00814375,0.00814375,0.00814375
17,1225.41,0.78308,0.84067,0.99208,0.46328,0.00802,0.00802,0.00802
18,1294.17,0.75996,0.85739,0.99472,0.43535,0.00789625,0.00789625,0.00789625
19,1363.15,0.72207,0.86532,0.99296,0.37602,0.0077725,0.0077725,0.0077725
20,1432.02,0.69881,0.875,0.99648,0.36828,0.00764875,0.00764875,0.00764875
21,1500.93,0.69709,0.88556,0.99736,0.34124,0.007525,0.007525,0.007525
22,1569.84,0.66823,0.91813,0.99736,0.2715,0.00740125,0.00740125,0.00740125
23,1638.66,0.62777,0.90933,0.99824,0.27384,0.0072775,0.0072775,0.0072775
24,1708.03,0.62407,0.90933,1,0.28782,0.00715375,0.00715375,0.00715375
25,1776.94,0.58331,0.93134,0.99824,0.23365,0.00703,0.00703,0.00703
26,1845.7,0.57807,0.91901,0.99824,0.23856,0.00690625,0.00690625,0.00690625
27,1914.49,0.56488,0.92694,0.99912,0.20776,0.0067825,0.0067825,0.0067825
28,1983.36,0.53365,0.93046,1,0.20666,0.00665875,0.00665875,0.00665875
29,2052.14,0.53295,0.92165,0.99736,0.23444,0.006535,0.006535,0.006535
30,2121.01,0.51924,0.9375,1,0.17193,0.00641125,0.00641125,0.00641125
31,2189.84,0.49837,0.95158,0.99824,0.16127,0.0062875,0.0062875,0.0062875
32,2258.79,0.48819,0.96215,0.99912,0.13296,0.00616375,0.00616375,0.00616375
33,2327.44,0.48363,0.96215,0.99824,0.13176,0.00604,0.00604,0.00604
34,2396.3,0.45174,0.96127,0.99912,0.12011,0.00591625,0.00591625,0.00591625
35,2465.43,0.43081,0.96391,1,0.11179,0.0057925,0.0057925,0.0057925
36,2534.28,0.41811,0.96303,1,0.1044,0.00566875,0.00566875,0.00566875
37,2603.32,0.4301,0.97623,1,0.08265,0.005545,0.005545,0.005545
38,2672.12,0.40131,0.97359,1,0.09065,0.00542125,0.00542125,0.00542125
39,2740.89,0.39184,0.97623,1,0.07549,0.0052975,0.0052975,0.0052975
40,2809.7,0.37258,0.98151,1,0.06376,0.00517375,0.00517375,0.00517375
41,2878.83,0.36234,0.98063,1,0.0616,0.00505,0.00505,0.00505
42,2947.85,0.33634,0.98327,1,0.05807,0.00492625,0.00492625,0.00492625
43,3016.73,0.32913,0.98856,1,0.05076,0.0048025,0.0048025,0.0048025
44,3085.91,0.32013,0.98327,1,0.04591,0.00467875,0.00467875,0.00467875
45,3154.84,0.32357,0.9912,1,0.04127,0.004555,0.004555,0.004555
46,3223.79,0.3076,0.9912,1,0.04,0.00443125,0.00443125,0.00443125
47,3292.61,0.3029,0.98856,1,0.04188,0.0043075,0.0043075,0.0043075
48,3361.32,0.28372,0.9912,0.99912,0.03615,0.00418375,0.00418375,0.00418375
49,3430.15,0.27738,0.98856,1,0.03605,0.00406,0.00406,0.00406
50,3500.22,0.25512,0.99384,1,0.03327,0.00393625,0.00393625,0.00393625
51,3569.03,0.24268,0.9912,1,0.02725,0.0038125,0.0038125,0.0038125
52,3637.75,0.24781,0.99384,1,0.0237,0.00368875,0.00368875,0.00368875
53,3706.75,0.23628,0.99296,1,0.02549,0.003565,0.003565,0.003565
54,3775.59,0.21934,0.9912,1,0.02791,0.00344125,0.00344125,0.00344125
55,3844.55,0.2103,0.99032,1,0.02815,0.0033175,0.0033175,0.0033175
56,3913.72,0.20755,0.9912,1,0.02606,0.00319375,0.00319375,0.00319375
57,3982.81,0.2028,0.99384,1,0.02777,0.00307,0.00307,0.00307
58,4051.89,0.19167,0.98856,1,0.02894,0.00294625,0.00294625,0.00294625
59,4121.48,0.1841,0.9912,1,0.02549,0.0028225,0.0028225,0.0028225
60,4190.26,0.17366,0.99032,1,0.02315,0.00269875,0.00269875,0.00269875
61,4259.21,0.17332,0.99032,1,0.02403,0.002575,0.002575,0.002575
62,4328,0.15835,0.9912,1,0.02368,0.00245125,0.00245125,0.00245125
63,4397.05,0.14144,0.99032,1,0.02135,0.0023275,0.0023275,0.0023275
64,4465.71,0.14943,0.99032,1,0.02128,0.00220375,0.00220375,0.00220375
65,4534.6,0.1467,0.98944,1,0.02112,0.00208,0.00208,0.00208
66,4603.67,0.14122,0.99032,1,0.02054,0.00195625,0.00195625,0.00195625
67,4672.41,0.13108,0.9912,1,0.02118,0.0018325,0.0018325,0.0018325
68,4741.14,0.12076,0.99296,1,0.02153,0.00170875,0.00170875,0.00170875
69,4810.08,0.11496,0.99208,1,0.02162,0.001585,0.001585,0.001585
70,4878.84,0.11836,0.99384,1,0.02094,0.00146125,0.00146125,0.00146125
71,4984.78,0.10442,0.9912,1,0.02078,0.0013375,0.0013375,0.0013375
72,5053.78,0.09802,0.99384,1,0.02064,0.00121375,0.00121375,0.00121375
73,5122.48,0.0938,0.99384,1,0.02064,0.00109,0.00109,0.00109
74,5191.33,0.08608,0.99296,1,0.02064,0.00096625,0.00096625,0.00096625
75,5260.15,0.0875,0.99296,1,0.02041,0.0008425,0.0008425,0.0008425
76,5329.66,0.08958,0.99208,1,0.02001,0.00071875,0.00071875,0.00071875
77,5398.64,0.07819,0.99032,1,0.0198,0.000595,0.000595,0.000595
78,5467.6,0.07584,0.99032,1,0.01923,0.00047125,0.00047125,0.00047125
79,5536.68,0.07671,0.9912,1,0.0191,0.0003475,0.0003475,0.0003475
80,5605.48,0.07689,0.9912,1,0.01914,0.00022375,0.00022375,0.00022375
